sec,frame_index,diffuse_rgb_avg,predict_CIELAB,specular_rgb_avg,gloss_percent
0,0,"35,174,95","45.75,-41.27,15.3","53,180,108",0.04510375839334002
1,60,"36,174,95","45.82,-41.28,15.41","54,180,109",0.033013796132236914
2,120,"36,174,95","45.82,-41.28,15.41","53,180,108",0.0420259279642879
3,180,"35,174,95","45.75,-41.27,15.3","53,179,108",0.05498407473445191
4,240,"36,174,95","45.82,-41.28,15.41","55,180,109",0.032647578222872925
5,300,"36,174,95","45.82,-41.28,15.41","53,180,108",0.04293896028924741
6,360,"36,174,95","45.82,-41.28,15.41","53,180,109",0.04485282903766966
7,420,"36,174,95","45.82,-41.28,15.41","53,181,108",0.044782877756478955
8,480,"36,174,95","45.82,-41.28,15.41","53,180,108",0.04800438897270608
9,540,"36,174,95","45.82,-41.28,15.41","53,180,108",0.04824581344244904
10,600,"36,174,95","45.82,-41.28,15.41","53,180,108",0.04681400470874155
11,660,"36,174,95","45.82,-41.28,15.41","53,180,108",0.04833189465873124
12,720,"36,174,95","45.82,-41.28,15.41","53,180,108",0.05417898007122831
13,780,"36,174,95","45.82,-41.28,15.41","54,180,109",0.048986460990445714
14,840,"36,174,95","45.82,-41.28,15.41","53,180,108",0.04951125255739941
15,900,"36,174,95","45.82,-41.28,15.41","54,180,109",0.04539893054590496
16,960,"36,174,95","45.82,-41.28,15.41","53,179,108",0.05699059799779224
17,1020,"36,174,95","45.82,-41.28,15.41","53,180,109",0.046790022179685836
18,1080,"36,174,95","45.82,-41.28,15.41","53,180,109",0.046335664975083436
19,1140,"36,174,95","45.82,-41.28,15.41","54,180,109",0.03959990907024324
20,1200,"36,174,95","45.82,-41.28,15.41","54,180,109",0.046943115364167995
21,1260,"36,174,96","45.84,-41.15,15.15","54,180,109",0.04571952031978681
22,1320,"36,174,95","45.82,-41.28,15.41","54,181,109",0.047567009683392524
23,1380,"36,174,95","45.82,-41.28,15.41","54,181,109",0.045021645021645025
24,1440,"36,174,95","45.82,-41.28,15.41","53,181,109",0.0448186057779662
25,1500,"36,174,95","45.82,-41.28,15.41","53,180,109",0.04177215189873418
26,1560,"36,174,95","45.82,-41.28,15.41","53,180,108",0.04666212017882852
27,1620,"36,174,95","45.82,-41.28,15.41","54,180,109",0.04025731795515968
28,1680,"36,174,95","45.82,-41.28,15.41","53,180,109",0.04410293230268635
29,1740,"36,174,95","45.82,-41.28,15.41","53,180,109",0.04701326585384556
30,1800,"36,174,95","45.82,-41.28,15.41","53,180,109",0.04751410706115602
