,VDO,L*,a*,b*,File_Name,Crop_Index,R,G,B,L_cal,a_cal,b_cal
0,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0000.jpg,1,182.1516,0.2782,21.5209,39.66,64.62,37.13
1,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0000.jpg,2,181.9577,0.1044,22.8832,39.62,64.67,36.27
2,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0000.jpg,3,182.0595,0.1352,24.3736,39.66,64.73,35.43
3,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0000.jpg,4,181.9211,3.7647,31.3951,40.1,63.85,31.66
4,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0000.jpg,5,181.3064,1.6266,26.0628,39.69,64.16,34.4
5,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0001.jpg,1,181.1782,0.7987,24.624,39.56,64.34,35.12
6,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0001.jpg,2,180.781,0.2696,25.7284,39.44,64.45,34.3
7,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0001.jpg,3,182.5005,0.2015,23.8509,39.74,64.79,35.86
8,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0001.jpg,4,182.9337,0.1564,24.0341,39.83,64.91,35.87
9,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0001.jpg,5,181.3253,1.5509,27.4392,39.7,64.24,33.59
10,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0002.jpg,1,182.2919,0.1846,25.1249,39.72,64.79,35.06
11,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0002.jpg,2,181.8178,0.1352,25.0088,39.62,64.7,34.99
12,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0002.jpg,3,182.2363,0.2174,22.8297,39.68,64.7,36.39
13,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0002.jpg,4,181.5145,2.8152,28.3885,39.88,63.93,33.22
14,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0002.jpg,5,181.8817,0.2901,24.8143,39.64,64.66,35.14
15,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0003.jpg,1,183.4493,14.7529,42.672,41.65,61.53,26.69
16,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0003.jpg,2,182.8337,3.3672,28.3115,40.19,64.07,33.68
17,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0003.jpg,3,182.2821,0.6375,29.672,39.82,64.81,32.41
18,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0003.jpg,4,182.5546,0.4044,26.3967,39.81,64.83,34.4
19,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0003.jpg,5,182.6101,0.1588,23.2969,39.76,64.81,36.21
20,M_136_1,34.53,31.53,16.21,M_136_1.mp4_sec_0004.jpg,1,181.7038,0.4919,28.0822,39.67,64.67,33.18
