ID,L*,a*,b*
DiagGreenTile_1,56.99,-24.58,10.14
DiagGreenTile_2,56.92,-24.64,10.18
DiagGreenTile_3,57.02,-24.57,10.21
M-136_1,34.53,31.53,16.21
M-136_2,34.6,31.67,16.19
M-136_3,34.61,31.7,16.24
M_128_1,44.13,46.69,30.59
M_128_2,44.14,46.77,30.79
M_128_3,44.09,46.62,30.64
M-235_1,66.98,-8.29,61.78
M-235_2,66.96,-8.08,61.84
M-235_3,66.8,-8.06,61.65
M-158_1,60.88,32.85,-4.02
M-158_2,60.96,32.9,-4.01
M-158_3,60.89,32.88,-4.05
M-264_1,55.75,13.69,50.31
M-264_2,55.91,13.84,50.28
M-264_3,55.78,13.78,50.32
M-266_1,49.43,36.87,39.89
M-266_2,49.44,36.97,39.72
M-266_3,49.46,36.91,39.74
M-324_1,32.72,4.41,-32.03
M-324_2,32.8,4.45,-32.02
M-324_3,32.71,4.47,-31.68
M-327_1,27.24,12.02,-26.41
M-327_2,27.26,12.11,-26.52
M-327_3,27.25,12.04,-26.49
M-327E_1,29.17,12.7,-30.02
M-327E_2,29.16,12.77,-30.04
M-327E_3,29.12,12.69,-29.78
M-3336_1,30.34,7.32,-28.51
M-3336_2,30.35,7.47,-28.56
M-3336_3,30.32,7.34,-28.44
M-835_1,48.61,-8.05,-36.11
M-835_2,48.62,-8.02,-36.09
M-835_3,48.59,-8.03,-36.16
M-841_1,62.47,-31.87,-5.88
M-841_2,62.45,-31.91,-5.91
M-841_3,62.42,-31.93,-5.92
M-348_1,38.56,-31.9,11.91
M-348_2,38.54,-31.91,11.84
M-348_3,38.53,-31.68,11.77
M-347_1,46.2,-40.99,14.32
M-347_2,46.22,-41.11,14.24
M-347_3,46.2,-41.16,14.27
M-215_1,63.96,-15.98,42.5
M-215_2,63.97,-15.96,42.55
M-215_3,63.93,-15.97,42.58
M-104_1,73.07,16.06,7.25
M-104_2,73.11,16.03,7.26
M-104_3,72.98,15.96,7.2
M-801_1,90.78,0.34,12.02
M-801_2,90.71,0.36,12.02
M-801_3,90.84,0.35,12.05
M-814_1,28.31,4.33,2.37
M-814_2,28.31,4.42,2.26
M-814_3,28.25,4.34,2.3
M-504_2,68.54,-1.53,-1
M-504_3,68.4,-1.51,-0.97
M-504_1,68.55,-1.52,-0.99
M-402_1,96.08,1.17,-3.54
M-402_2,96.15,1.17,-3.56
M-402_3,96.15,1.19,-3.54
M-502_1,23.64,0.05,-0.49
M-502_2,23.63,0.02,-0.47
M-502_3,23.61,0.09,-0.56
Lighttrap,0.24,-0.09,0.35
Lighttrap.2,0.27,0.05,0.27
Lighttrap.3,0.17,-0.02,0.03
whiteTile.1,99.52,-0.11,-0.02
whiteTile.2,99.52,-0.09,-0.01
whiteTile.3,99.52,-0.12,0
M-070SC_1,43.7,-0.76,-3.89
M-070SC_2,43.76,-0.71,-3.84
M-070SC_3,43.61,-0.67,-3.91
M-444_1,90.58,2,-7.76
M-444_2,90.53,1.98,-7.76
M-444_3,90.65,2.02,-7.72
transparent,33,-0.09,-0.52
