ID,File_Name,Crop_Index,R_mean,G_mean,B_mean
M_104_1,M_104_1.mp4_sec_0000.jpg,1,207.7931,165.065,174.5469
M_104_1,M_104_1.mp4_sec_0000.jpg,2,208.9468,165.9468,175.9468
M_104_1,M_104_1.mp4_sec_0000.jpg,3,207.9623,164.8928,174.8692
M_104_1,M_104_1.mp4_sec_0000.jpg,4,208.0931,165.0931,175.0931
M_104_1,M_104_1.mp4_sec_0000.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0000.jpg,6,208.558,165.558,175.558
M_104_1,M_104_1.mp4_sec_0000.jpg,7,207.5551,164.5551,174.5551
M_104_1,M_104_1.mp4_sec_0000.jpg,8,211.3821,171.2129,180.1678
M_104_1,M_104_1.mp4_sec_0000.jpg,9,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0000.jpg,10,207.8315,164.8315,174.8315
M_104_1,M_104_1.mp4_sec_0001.jpg,1,209.2934,166.6216,176.6216
M_104_1,M_104_1.mp4_sec_0001.jpg,2,208.5994,165.5994,175.5994
M_104_1,M_104_1.mp4_sec_0001.jpg,3,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0001.jpg,4,207.8721,165.1264,174.5854
M_104_1,M_104_1.mp4_sec_0001.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0001.jpg,6,208.4597,165.4553,175.4686
M_104_1,M_104_1.mp4_sec_0001.jpg,7,209.1973,166.1973,176.1973
M_104_1,M_104_1.mp4_sec_0001.jpg,8,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0001.jpg,9,209.0,166.0,176.0
M_104_1,M_104_1.mp4_sec_0001.jpg,10,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0002.jpg,1,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0002.jpg,2,209.153,166.5004,176.4856
M_104_1,M_104_1.mp4_sec_0002.jpg,3,208.1966,165.1959,175.1988
M_104_1,M_104_1.mp4_sec_0002.jpg,4,209.4752,166.9889,176.8869
M_104_1,M_104_1.mp4_sec_0002.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0002.jpg,6,208.0909,165.3459,174.6401
M_104_1,M_104_1.mp4_sec_0002.jpg,7,207.983,165.0495,174.9002
M_104_1,M_104_1.mp4_sec_0002.jpg,8,207.9919,164.9919,174.9919
M_104_1,M_104_1.mp4_sec_0002.jpg,9,210.5344,167.5344,177.5344
M_104_1,M_104_1.mp4_sec_0002.jpg,10,210.5196,167.5196,177.5196
M_104_1,M_104_1.mp4_sec_0003.jpg,1,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0003.jpg,2,208.9852,165.9852,175.9852
M_104_1,M_104_1.mp4_sec_0003.jpg,3,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0003.jpg,4,209.2535,166.2535,176.2535
M_104_1,M_104_1.mp4_sec_0003.jpg,5,208.0177,165.0318,175.02
M_104_1,M_104_1.mp4_sec_0003.jpg,6,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0003.jpg,7,208.0584,165.1441,175.1441
M_104_1,M_104_1.mp4_sec_0003.jpg,8,208.2173,165.2173,175.2173
M_104_1,M_104_1.mp4_sec_0003.jpg,9,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0003.jpg,10,208.0436,165.0347,175.0377
M_104_1,M_104_1.mp4_sec_0004.jpg,1,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0004.jpg,2,208.9808,165.9808,175.9808
M_104_1,M_104_1.mp4_sec_0004.jpg,3,211.371,170.2956,179.6186
M_104_1,M_104_1.mp4_sec_0004.jpg,4,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0004.jpg,5,207.7391,164.7391,174.7391
M_104_1,M_104_1.mp4_sec_0004.jpg,6,208.0451,165.0451,175.0451
M_104_1,M_104_1.mp4_sec_0004.jpg,7,208.0103,165.0103,175.0103
M_104_1,M_104_1.mp4_sec_0004.jpg,8,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0004.jpg,9,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0004.jpg,10,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0005.jpg,1,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0005.jpg,2,208.9904,165.9904,175.9904
M_104_1,M_104_1.mp4_sec_0005.jpg,3,208.9564,165.9564,175.9564
M_104_1,M_104_1.mp4_sec_0005.jpg,4,208.2838,165.2838,175.2838
M_104_1,M_104_1.mp4_sec_0005.jpg,5,209.3917,166.7938,176.7908
M_104_1,M_104_1.mp4_sec_0005.jpg,6,208.4841,165.4841,175.4841
M_104_1,M_104_1.mp4_sec_0005.jpg,7,208.2979,165.2979,175.2979
M_104_1,M_104_1.mp4_sec_0005.jpg,8,208.5928,165.5928,175.5928
M_104_1,M_104_1.mp4_sec_0005.jpg,9,208.9475,165.9475,175.9475
M_104_1,M_104_1.mp4_sec_0005.jpg,10,209.167,166.5765,176.5484
M_104_1,M_104_1.mp4_sec_0006.jpg,1,208.3444,165.3444,175.3444
M_104_1,M_104_1.mp4_sec_0006.jpg,2,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0006.jpg,3,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0006.jpg,4,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0006.jpg,5,208.5883,165.5883,175.5883
M_104_1,M_104_1.mp4_sec_0006.jpg,6,210.5957,169.8877,178.2934
M_104_1,M_104_1.mp4_sec_0006.jpg,7,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0006.jpg,8,208.3481,165.3481,175.3481
M_104_1,M_104_1.mp4_sec_0006.jpg,9,210.6201,168.7199,178.4198
M_104_1,M_104_1.mp4_sec_0006.jpg,10,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0007.jpg,1,210.0259,167.7997,177.4878
M_104_1,M_104_1.mp4_sec_0007.jpg,2,210.5351,167.5351,177.5351
M_104_1,M_104_1.mp4_sec_0007.jpg,3,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0007.jpg,4,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0007.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0007.jpg,6,207.7753,164.8522,174.7576
M_104_1,M_104_1.mp4_sec_0007.jpg,7,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0007.jpg,8,210.1301,167.1301,177.1301
M_104_1,M_104_1.mp4_sec_0007.jpg,9,208.4464,165.4464,175.4464
M_104_1,M_104_1.mp4_sec_0007.jpg,10,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0008.jpg,1,209.0,166.0,176.0
M_104_1,M_104_1.mp4_sec_0008.jpg,2,208.0399,164.9778,174.9985
M_104_1,M_104_1.mp4_sec_0008.jpg,3,207.8152,164.8152,174.8152
M_104_1,M_104_1.mp4_sec_0008.jpg,4,207.9254,164.9254,174.9254
M_104_1,M_104_1.mp4_sec_0008.jpg,5,207.4642,164.4642,174.4642
M_104_1,M_104_1.mp4_sec_0008.jpg,6,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0008.jpg,7,208.8854,165.8854,175.8854
M_104_1,M_104_1.mp4_sec_0008.jpg,8,207.9231,165.0089,174.9734
M_104_1,M_104_1.mp4_sec_0008.jpg,9,208.6142,165.4885,175.8655
M_104_1,M_104_1.mp4_sec_0008.jpg,10,208.1818,165.1818,175.1818
M_104_1,M_104_1.mp4_sec_0009.jpg,1,208.133,165.0931,175.1256
M_104_1,M_104_1.mp4_sec_0009.jpg,2,209.0103,166.0103,176.0103
M_104_1,M_104_1.mp4_sec_0009.jpg,3,208.7428,165.7428,175.7428
M_104_1,M_104_1.mp4_sec_0009.jpg,4,207.9963,164.9963,174.9963
M_104_1,M_104_1.mp4_sec_0009.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0009.jpg,6,210.1271,167.0207,177.34
M_104_1,M_104_1.mp4_sec_0009.jpg,7,208.912,165.912,175.912
M_104_1,M_104_1.mp4_sec_0009.jpg,8,207.884,164.9091,174.9246
M_104_1,M_104_1.mp4_sec_0009.jpg,9,208.8027,165.8027,175.8027
M_104_1,M_104_1.mp4_sec_0009.jpg,10,208.031,165.031,175.031
M_104_1,M_104_1.mp4_sec_0010.jpg,1,208.6112,165.6112,175.6112
M_104_1,M_104_1.mp4_sec_0010.jpg,2,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0010.jpg,3,208.2712,165.2801,175.2801
M_104_1,M_104_1.mp4_sec_0010.jpg,4,208.116,165.1227,175.1271
M_104_1,M_104_1.mp4_sec_0010.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0010.jpg,6,207.9763,164.9763,174.9763
M_104_1,M_104_1.mp4_sec_0010.jpg,7,209.1072,166.4006,176.3599
